curve_id,arc_length,curvature_mean,curvature_max,curvature_std,curvature_median,curvature_q95,slope_mean,slope_std,angle_mean,angle_std,angle_range,direction_changes,speed_mean,speed_std,speed_min,speed_max,speed_cv,n_maxima,n_minima,n_inflection,n_extrema,type
57,83.43370921740565,0.02423613261322245,0.07335717842559014,0.024208893362799855,0.011313826274725505,0.07187558210772343,0.6591149020288104,0.8863404024397155,23.961769659146203,36.383670140917815,96.64163306634964,1,0.010430646666297061,0.0012310291795089136,0.008613491176659329,0.012991218777935127,0.11802040840732801,1,0,4,1,abierta_compleja
58,338.2672666319927,0.020776427571959275,0.058309432515555176,0.014233482838967403,0.01838466839218364,0.04739971791022625,-0.009814019952935791,0.7656711260349893,1.3283126217136674,31.400324297656258,115.55487855350935,7,0.042289125202728615,0.00974274868704601,0.025559962750606013,0.06598376912109342,0.23038425695354367,4,3,8,7,abierta_compleja
59,163.0133339346961,0.03042019163808252,0.0879601866384397,0.022537512435730496,0.02443508231009941,0.07532519880234699,0.27638218309514107,0.4561144736205132,13.184649943416554,22.604838464857504,68.91270214878574,4,0.02037966583540754,0.0044170127309805665,0.013210911396703494,0.029552107191916328,0.21673626872264354,2,2,5,4,abierta_compleja
60,142.4541854312693,0.0183132026582213,0.07076868706296438,0.01997276671028493,0.011934941862928332,0.06575096803356373,0.8423104005044961,1.6464886114130064,15.386989313238283,47.395867071052926,116.7473341652863,1,0.0178091888452138,0.005063680437389966,0.011342373152205768,0.02545653509584598,0.2843296503507416,1,0,4,1,abierta_compleja
61,370.15280419697916,0.027164289258516723,0.21992194328638393,0.034089955647815535,0.014694720838123933,0.08650557176324772,0.14736638599786903,0.5930864424690233,6.448637529713888,28.042032001618967,102.55428143857316,6,0.04627827596683283,0.011322029973100153,0.024541569707056347,0.0758989644022966,0.2446510751872982,3,3,15,6,abierta_compleja
62,246.89969948017105,0.040128363376914424,0.145503693749609,0.03348529336925405,0.030044593371010966,0.1058747466622235,0.18023130255644862,0.5552568822784071,8.626387028442837,27.419717592201454,84.5349787442689,6,0.030867269223168316,0.008479884402594541,0.017508393660357734,0.05949548935364613,0.27472091364109785,3,3,9,6,abierta_compleja
63,279.50274316904654,0.024339743417069657,0.21372632058284255,0.03556589282385907,0.014621418495559792,0.07539440509179703,0.23388322654023042,0.7946539116516843,8.431072274440709,32.106943669133095,115.1964751824551,5,0.034943331861520946,0.010294311722762,0.013988511281074856,0.056357124439643067,0.294600176181194,3,2,8,5,abierta_compleja
64,352.08629539075974,0.02513357325630352,0.10849449649770825,0.021309802752409988,0.021077775542598567,0.06334151541471607,0.2089224436980659,0.7069294629240453,8.544292902817137,30.369356389464656,112.50369781944335,4,0.044015988302977115,0.01147985553984401,0.023247279419854154,0.06371509481431839,0.2608110366811313,2,2,13,4,abierta_compleja
65,135.14835545960594,0.029841270705240674,0.19582714885256458,0.04168231950276869,0.015275092174428602,0.14014545002880358,0.45102116962351935,1.3666787566523506,8.599405080419414,48.0272832070057,115.366126779535,1,0.016895657523640657,0.003857650817213307,0.010993975373497443,0.023150578578285744,0.22832202959935854,1,0,4,1,abierta_compleja
66,192.55717891932676,0.020792780635423995,0.09170931053281743,0.02388969864579425,0.011266407626960406,0.07918504266001675,0.04094891043982117,1.0165819300286192,1.873821774317995,42.675926524825684,111.70069025460492,1,0.02407259514069762,0.008822342117128892,0.01275507797470683,0.042993676143826626,0.3664890330919769,1,0,6,1,abierta_compleja
67,204.88672107583434,0.022963185447970033,0.11981187626790601,0.026921170427339765,0.01143253910377106,0.08888727303060474,0.5157301779514428,0.6424265596936127,23.184528064095,28.53976144424101,98.7017757915115,2,0.025614521092792865,0.003809964515489578,0.019792845657042448,0.03543016158606789,0.14874236772521912,1,1,9,2,abierta_compleja
68,163.2387914728709,0.023791082648652942,0.06411934126577663,0.01778545608673121,0.019704178615806332,0.06199936556417399,0.2821857127743378,0.6139882318932826,12.703956436532296,29.15919799387126,92.81558032174199,1,0.020407385377031156,0.002447122285214254,0.01569290553159007,0.025798655792798615,0.11991356266386433,1,0,8,1,abierta_compleja
69,132.2007467252528,0.01328336410924209,0.026252614926733673,0.00733293557908524,0.012955414412903012,0.024441836135271885,1.1366923793869697,1.3386963394982245,32.822288688047834,30.36454231793408,95.77294905956441,1,0.016527625320595492,0.003136166944865426,0.011613470998887184,0.02274958845946436,0.18975302767526858,1,0,2,1,abierta_compleja
70,139.43637630321746,0.02791364629742808,0.10203830796410385,0.023833021697731833,0.021120338612398006,0.07146843660337053,0.16971523267095745,0.7022598487394656,6.90082973816812,32.93963774231871,91.81330658594878,1,0.01743146531971891,0.0052644199457571135,0.010747985662556785,0.02705831206861911,0.3020067360488547,1,0,4,1,abierta_compleja
71,276.73106853194724,0.03299511989334304,0.10308984620999605,0.025958440553674987,0.026123979707154146,0.08872338727447436,0.3285720986928223,0.7041858848563783,12.7468768682815,30.670331170110117,94.11515122311224,6,0.03459656674147432,0.005531811531561576,0.025238061913999372,0.04590144065007211,0.15989481190138,3,3,7,6,abierta_compleja
72,94.38146659842381,0.02966264292337035,0.06616320207466216,0.019188791640114163,0.03171175081671661,0.061472396675901715,0.806595603295175,1.3551605284369292,19.694500038421616,36.34285877319027,100.74506346922966,2,0.011799523397885535,0.005691200961279743,0.006628451495416808,0.02281486989705031,0.4823246473073312,1,1,3,2,abierta_compleja
73,282.86634759246715,0.03253383578960043,0.2578900427015384,0.041282615549815875,0.01952215591559821,0.11188046941438197,0.07007538951772534,0.6218087234420082,2.406705301432051,29.129058310362176,105.3142777264863,5,0.03536259320711065,0.006749271532498764,0.0183815035815255,0.04997976528825457,0.19085906661227636,3,2,12,5,abierta_compleja
74,277.59310254892796,0.02458678353390048,0.08428113223375805,0.021932780451089085,0.017056907158256973,0.0708554879025205,0.2911047702028869,0.7712091538995097,10.909115287367346,31.10045145421671,112.6251666446,4,0.034706184114272634,0.010094612101420238,0.020879509171458775,0.05784803797336108,0.29085917564959013,2,2,9,4,abierta_compleja
75,372.50321983607853,0.026839646178434397,0.1533972897728721,0.029432940828441716,0.01768514056428145,0.0922995062161252,0.13439040723689688,0.5990389673340789,6.421204832350604,26.461171514557275,115.9254684679517,5,0.04657157680689312,0.011838048108172326,0.023646778672774597,0.07706000284533525,0.25419040796617737,3,2,14,5,abierta_compleja
76,318.7348041351284,0.02401777867138802,0.11936500081300935,0.022728512326420022,0.018155736972674336,0.07145525455322123,0.01983636214903736,0.8433491632871883,-0.84812792364938,34.202875193887415,120.02934538156745,5,0.03984836360332269,0.009796506670912308,0.02377864954486024,0.07348193856065144,0.24584464166291242,3,2,12,5,abierta_compleja
77,159.01104102938626,0.053891372359898757,0.304985477813536,0.055538222410614,0.03661729162878799,0.15546565027760717,0.15241339826352193,0.9100536134222739,4.360148352339763,37.310026547241634,120.59142713696951,5,0.019879553873484515,0.005000159526846357,0.012602769796903692,0.031631559604392206,0.2515227232294988,3,2,6,5,abierta_compleja
78,269.0372968561155,0.03761267578461275,0.26506612737956514,0.04715356202174469,0.022337995038473783,0.14129232668544758,0.19755975932827102,0.693084886219257,10.397967178167612,30.477131481211465,111.43861701883355,5,0.03363419630873203,0.00856318720107895,0.01689776868167093,0.05056285147157081,0.2545976458743507,2,3,10,5,abierta_compleja
79,126.65373736539257,0.03140698621993902,0.17360878521895745,0.041646340946449964,0.014483180326870217,0.14075184003698418,0.18562410426835363,0.913508975004782,8.982896231893246,40.44794070514189,102.76120618974784,1,0.01583494144481604,0.006160826050657017,0.00839699704019741,0.028483771514134643,0.3890652878084318,1,0,4,1,abierta_compleja
80,286.8269610601202,0.04991435763696467,0.30828193503896995,0.05397898786614939,0.03033422609145639,0.17425530395411276,0.17714368810315959,0.7501935338648232,6.4086552796045,32.47358250423565,112.26524781812897,10,0.035858623650994,0.010785592667682802,0.019801476638245646,0.06211418988860063,0.30078099964619875,5,5,11,10,abierta_compleja
