curva,mejor_metodo,r2_mejor,r2_gauss,r2_spline,n_campanas,c,n_knots,A_1,mu_1,sigma_1,A_2,mu_2,sigma_2
105,gaussianas,0.999583,0.999583,0.99953,8,27.552863,14,19.718324,40.137158,16.692557,33.426291,62.78332,9.671908
106,gaussianas,1.0,1.0,0.999574,8,-49.011811,6,4.849818,14.946712,7.183432,20.597607,31.066569,10.529396
107,gaussianas,1.0,1.0,0.999801,8,-37.723236,3,29.009411,14.307783,17.949468,51.265573,44.603121,16.592768
108,spline,0.999603,0.999452,0.999603,8,-8.659188,12,19.425038,12.541053,10.242249,31.821543,27.157392,15.173355
109,gaussianas,1.0,1.0,0.99971,8,-69.896295,7,59.142822,10.208441,27.279247,19.145757,30.328408,14.618506
110,polinomio,1.0,1.0,0.999789,8,19.45761,3,1.209523,12.391556,3.84995,0.437955,33.264846,3.854537
111,gaussianas,0.999972,0.999972,0.999598,8,-7.97907,6,16.917839,26.421734,11.774401,35.326738,46.556475,11.761737
112,gaussianas,0.999809,0.999809,0.999604,8,19.726303,12,14.998177,27.546425,12.002842,4.795326,39.839511,6.412956
113,spline,0.999399,0.998221,0.999399,8,36.835299,14,16.995219,25.53721,14.672413,3.282355,50.542675,7.955959
114,gaussianas,0.999858,0.999858,0.999765,8,7.851451,14,20.001413,28.73935,12.234967,48.764318,73.01681,16.703667
115,polinomio,1.0,1.0,0.999871,8,7.026456,2,9.407209,4.492225,13.865568,7.426194,21.031979,10.297799
116,gaussianas,0.999994,0.999994,0.999411,8,-37.484007,11,39.187741,14.517861,12.968172,73.792114,36.49052,17.204108
117,spline,0.999514,0.99946,0.999514,8,-66.330851,21,80.043804,30.540271,15.957382,120.716454,73.109528,23.900543
118,gaussianas,0.999992,0.999992,0.999593,8,-3.002564,11,1.573956,20.91623,4.252688,52.540026,28.714198,22.362061
119,gaussianas,0.999999,0.999999,0.999702,8,7.839266,11,31.896018,17.990492,16.804654,54.81455,47.648477,17.412416
120,gaussianas,0.99995,0.99995,0.999813,8,-10.489473,13,5.186769,14.215359,7.675375,5.653216,37.335796,5.835122
121,gaussianas,0.999558,0.999558,0.99875,8,-2.843904,16,8.473472,25.128845,8.920373,62.995194,50.332543,19.917723
122,gaussianas,0.999261,0.999261,0.99924,8,18.066822,17,12.117515,54.737015,10.147149,38.662805,64.747958,26.341269
123,gaussianas,0.999928,0.999928,0.999192,8,-20.265885,11,13.498799,19.726959,7.884101,31.263444,23.546338,16.347063
124,gaussianas,1.0,1.0,0.999682,8,-68.273894,5,4.350819,16.655358,3.872091,0.921857,21.407333,2.881304
125,spline,0.998889,0.99679,0.998889,8,-27.951196,21,86.832811,37.291562,26.810811,22.337131,75.023489,12.112261
126,gaussianas,0.999998,0.999998,0.999545,8,3.709201,8,3.515213,20.138823,7.008038,61.512098,51.765978,18.500512
127,gaussianas,0.999998,0.999998,0.999484,8,-7.826572,8,25.123386,19.161556,14.694901,1.653948,28.519594,6.649541
128,gaussianas,0.999749,0.999749,0.998963,8,11.026781,16,49.978858,27.12835,13.739121,6.417612,51.174925,6.03528
129,gaussianas,0.999974,0.999974,0.999729,8,23.14201,18,1.103875,45.559881,6.129321,18.647716,65.180849,8.936431
130,gaussianas,1.0,1.0,0.999414,8,9.32209,7,15.086959,14.4044,13.431665,16.239417,39.494723,10.884151
131,gaussianas,0.999214,0.999214,0.999214,8,15.169813,19,4.483113,25.214581,8.456278,36.25584,57.368144,16.202531
132,spline,0.998726,0.998359,0.998726,8,28.236504,18,23.444072,64.522475,31.723831,24.405109,111.2277,16.31476
133,polinomio,1.0,0.999981,0.999669,8,-16.365557,4,0.580028,8.121618,3.050958,38.219415,17.763985,10.176345
134,gaussianas,0.999995,0.999995,0.999556,8,-9.096033,11,43.010859,32.227541,29.378037,48.279279,66.511058,24.144201
135,polinomio,0.999849,0.999807,0.999672,8,-0.792314,12,16.420335,27.408977,10.047189,17.374014,46.325196,7.97508
136,polinomio,0.999984,0.999197,0.997426,8,34.84183,4,4.126336,26.576875,6.403047,9.248992,50.179979,10.387443
137,polinomio,0.999981,0.999932,0.999417,7,-20.341002,6,3.594206,17.04812,6.118558,12.855989,53.103689,17.092786
138,gaussianas,1.0,1.0,0.99962,8,7.179799,6,2.472323,17.33935,7.5817,2.389962,28.34476,6.699602
139,spline,0.999126,0.997585,0.999126,8,-14.848752,16,3.954857,10.688546,5.923495,34.805081,11.905747,14.097319
140,polinomio,1.0,0.999979,0.999962,7,12.738064,2,3.784366,17.607251,3.976824,19.927433,61.867757,14.459309
141,gaussianas,0.999858,0.999858,0.999643,8,-57.944065,15,51.282584,8.405936,31.588231,3.88575,45.200097,8.782308
142,gaussianas,0.999998,0.999998,0.999668,8,-29.556049,10,69.989609,29.484807,20.652013,66.884112,72.923633,17.217231
143,spline,0.999062,0.998601,0.999062,8,-2.721522,15,19.298208,20.062626,8.343325,15.913282,31.686058,12.330895
144,gaussianas,0.999999,0.999999,0.999784,8,17.308742,9,21.913327,30.525645,8.264263,48.32724,48.122955,11.325581
145,gaussianas,0.999945,0.999945,0.999854,8,4.888823,12,11.266425,31.179173,16.684613,21.896378,87.906136,29.937822
146,gaussianas,0.999992,0.999992,0.998407,8,9.306967,8,14.673667,34.938697,15.232553,1.680155,39.814377,5.269072
147,gaussianas,0.999999,0.999999,0.9997,8,15.851173,6,1.852911,12.775019,8.489954,25.363907,68.98332,17.603137
148,polinomio,0.999992,0.999898,0.99958,8,-13.468829,7,8.814541,9.101971,5.785994,22.447484,17.521822,13.359664
149,gaussianas,1.0,1.0,0.999721,8,-18.987288,5,53.834372,28.615748,23.611594,6.553863,31.180785,8.684861
150,gaussianas,1.0,1.0,0.999785,7,-25.387454,5,39.506134,27.067903,24.426926,3.748376,30.107769,6.469311
151,spline,0.999769,0.999448,0.999769,8,4.05659,17,15.952114,68.297141,25.476465,46.460235,95.465821,18.563734
152,spline,0.999732,0.999136,0.999732,8,3.477098,18,8.097821,32.011953,6.955838,22.339847,57.458632,10.761655
153,gaussianas,0.99999,0.99999,0.999139,8,24.049209,8,4.730008,12.620318,11.639602,24.848831,37.644529,18.017294
154,gaussianas,0.999999,0.999999,0.999431,8,8.295354,9,33.148613,32.019988,27.635422,53.472207,83.78888,25.637275
155,spline,0.999581,0.997357,0.999581,8,-9.361718,15,24.369182,28.754486,10.299729,39.45426,48.441327,16.847451
156,polinomio,0.999891,0.999663,0.999363,8,-17.021494,8,24.582727,12.092987,8.143056,37.480335,22.79549,10.1644
157,gaussianas,0.999736,0.999736,0.999463,8,10.617412,13,39.612229,41.545831,17.572748,33.47521,85.382875,21.648455
158,polinomio,0.999965,0.999902,0.999505,8,2.453186,9,11.5146,10.673652,8.586815,28.481946,28.019529,12.992856
159,spline,0.999633,0.998682,0.999633,8,-50.17726,18,16.676825,19.776057,6.623632,22.183795,27.887563,13.645487
160,gaussianas,0.999764,0.999764,0.999622,8,-27.603924,19,96.279317,54.638409,30.474061,12.169172,74.558317,9.921876
161,gaussianas,0.999966,0.999966,0.999476,8,18.317408,10,2.310007,24.176744,7.95922,25.941222,33.725944,22.413208
162,gaussianas,0.99985,0.99985,0.999834,8,0.094136,18,20.560163,58.033168,8.664622,40.009596,44.067603,9.66289
163,gaussianas,0.999998,0.999998,0.99969,8,-6.693612,10,5.322237,10.979288,9.007437,4.101686,32.672327,5.164171
164,gaussianas,0.999976,0.999976,0.999608,8,13.36089,11,9.161199,29.648872,8.101821,3.920421,38.991952,5.939404
165,gaussianas,0.999986,0.999986,0.999295,8,-23.25423,10,36.843288,9.315189,15.212058,58.600465,39.34162,21.416462
166,polinomio,0.999998,0.99997,0.999036,8,14.224605,3,1.7139,16.998663,5.136144,12.439262,32.711548,10.000037
167,gaussianas,0.999789,0.999789,0.999582,8,15.389386,19,15.773435,41.434344,10.902254,24.799111,61.073176,11.35013
168,polinomio,0.999504,0.997325,0.999408,8,29.726491,10,0.0,29.794817,94.593071,2.657093,34.39148,6.134609
169,gaussianas,0.999973,0.999973,0.999494,8,4.668804,11,14.258922,20.485798,15.903894,17.223931,54.968005,20.410713
170,gaussianas,0.999872,0.999872,0.999595,8,29.860356,13,11.548846,46.748547,13.421868,1.565832,59.692134,3.044597
171,spline,0.999175,0.997782,0.999175,8,19.83479,21,43.393971,49.295493,16.191467,36.314363,83.500819,15.944255
172,gaussianas,0.999987,0.999987,0.999266,8,1.292054,12,9.460728,8.524735,5.396112,10.785631,14.736452,7.417735
173,polinomio,1.0,1.0,0.99984,8,-6.033385,5,2.899993,11.49263,7.778282,16.764295,27.443184,11.854517
174,spline,0.999456,0.991487,0.999456,5,-16.499022,20,49.828675,36.515239,28.220277,9.845362,95.883681,7.022486
175,gaussianas,1.0,1.0,0.999679,8,-1.423113,4,13.640746,19.133481,7.884858,17.821426,30.514655,7.0957
176,polinomio,1.0,1.0,0.999401,7,16.687596,3,0.032762,18.040223,2.094236,8.784114,11.7199,7.458629
177,gaussianas,0.999998,0.999998,0.9995,8,19.911862,4,17.97447,21.46896,13.057286,2.138465,26.694316,6.02406
178,gaussianas,0.999974,0.999974,0.998787,8,3.696995,9,2.680011,32.450696,3.2845,3.059927,44.124549,3.152135
179,gaussianas,0.999916,0.999916,0.99976,8,22.656263,14,1.5,3.751157,6.594437,8.172128,54.834724,15.74566
180,gaussianas,0.999878,0.999878,0.999195,8,-27.614031,17,70.977319,43.11454,36.095595,65.723036,98.498511,27.867836
181,gaussianas,0.99989,0.99989,0.999462,8,-62.268898,14,4.019133,16.682109,8.222523,100.037094,51.048405,45.976744
182,gaussianas,0.999973,0.999973,0.999702,7,-34.478751,11,28.258889,26.221612,9.982301,22.264408,55.501327,15.911299
183,gaussianas,0.999989,0.999989,0.999263,8,24.115524,7,23.185222,16.544364,13.155201,1.271106,30.265226,4.750997
184,gaussianas,0.999886,0.999886,0.999551,8,-10.119891,17,64.149882,53.607854,24.002471,4.646927,68.748016,10.218218
185,polinomio,0.999999,0.999994,0.999479,8,7.036008,4,16.236612,26.493574,13.349215,36.90168,44.423189,9.698663
186,spline,0.999478,0.999042,0.999478,8,-13.408371,18,80.119738,51.163294,31.793903,8.883573,63.628215,5.560852
187,gaussianas,0.999807,0.999807,0.999171,8,6.70291,12,38.60732,24.730893,24.49699,27.609219,58.449247,17.067094
188,gaussianas,0.99997,0.99997,0.999663,8,-39.453993,9,30.35269,5.969092,28.874465,10.227546,44.976333,11.212221
189,spline,0.999642,0.999567,0.999642,8,19.823635,20,5.926199,18.376219,7.905665,57.254786,62.881492,18.349834
190,gaussianas,1.0,1.0,0.994072,8,14.261579,5,9.289199,27.480554,9.507637,8.480068,41.544274,8.074881
191,gaussianas,0.999888,0.999888,0.999305,8,-18.926128,15,72.197514,49.217781,47.205135,21.498081,44.641524,15.445664
192,gaussianas,0.99991,0.99991,0.996172,8,31.614749,8,5.652764,12.280708,7.793213,10.768099,25.276106,8.90978
193,gaussianas,0.999896,0.999896,0.999778,8,-11.688495,15,59.87959,34.19171,15.090641,37.757925,54.851635,9.539818
194,gaussianas,0.999949,0.999949,0.999832,8,9.186792,12,1.5,18.125385,4.703108,22.317893,56.028721,10.042597
195,spline,0.999327,0.999308,0.999327,8,17.88869,14,36.932471,48.408615,17.616735,29.581899,74.326137,15.43699
196,gaussianas,0.999904,0.999904,0.999437,8,27.429592,15,17.103371,25.606541,12.226133,55.106994,56.496909,15.338308
197,gaussianas,0.999508,0.999508,0.999257,8,-40.394063,16,34.88342,40.710586,22.748275,34.950771,28.516631,76.595402
198,polinomio,1.0,0.999999,0.999559,8,-2.715556,3,23.21824,16.045989,15.075654,26.843169,36.557039,12.407235
199,gaussianas,0.999996,0.999996,0.999128,8,31.756475,9,4.760575,15.066538,12.93384,26.313242,49.729813,19.688092
200,spline,0.999413,0.998366,0.999413,7,19.105854,21,6.332282,58.291899,10.256992,51.59453,78.824663,35.868162
201,polinomio,1.0,1.0,0.999984,8,13.188497,2,0.184185,12.475349,4.012565,12.386824,19.418704,13.481516
202,gaussianas,0.999447,0.999447,0.999201,8,30.197824,16,33.833956,56.203724,22.841287,41.928257,92.805128,14.390373
203,gaussianas,0.999938,0.999938,0.99924,8,-13.332006,13,36.275046,30.411705,11.22971,16.424184,44.827444,10.229491
204,gaussianas,0.99998,0.99998,0.99928,8,22.109003,9,1.5,10.082029,5.189972,6.676147,35.831773,7.555186
205,gaussianas,1.0,1.0,0.999597,8,7.728666,6,23.463262,13.556105,13.757193,14.06325,25.143705,9.36352
206,gaussianas,1.0,1.0,0.999226,8,-22.092543,3,42.910301,17.192235,13.150694,0.077855,16.42099,2.958392
207,gaussianas,0.999999,0.999999,0.99935,8,-3.542576,10,18.529914,22.922828,15.286497,1.919662,35.041163,5.976687
208,polinomio,1.0,0.999994,0.999694,8,7.250358,6,5.175322,18.209905,13.356951,35.611179,60.604581,22.026491
209,gaussianas,1.0,1.0,0.996889,8,6.822133,5,0.079539,9.746226,1.911627,34.078055,14.454223,9.148087
210,polinomio,0.999705,0.999506,0.999084,8,-8.896811,7,5.350909,28.867845,7.315859,58.058217,43.702309,16.458714
211,polinomio,1.0,0.999944,0.999835,8,16.762267,2,6.010732,6.221653,3.917015,1.576018,14.095592,3.111789
212,gaussianas,0.999995,0.999995,0.999808,8,-5.100183,13,26.874057,51.039283,24.195428,49.452147,67.525846,16.111387
213,gaussianas,0.999683,0.999683,0.999399,8,-22.721648,17,58.709926,31.48185,23.392824,82.538915,159.9137,28.656905
214,polinomio,0.999876,0.999859,0.998707,8,30.389483,9,3.846725,15.190796,4.683523,12.844531,24.485955,7.828694
215,spline,0.999348,0.999234,0.999348,8,-9.959207,20,67.648929,33.202466,28.191644,25.93924,65.071652,10.541063
216,gaussianas,0.999909,0.999909,0.999806,7,21.514285,15,11.382537,28.97984,12.073341,18.472956,89.861745,12.593245
217,gaussianas,0.999961,0.999961,0.999583,8,20.055456,11,2.539602,25.482134,6.551642,10.464928,39.409724,10.250973
218,polinomio,0.999284,0.998997,0.998245,8,-12.680544,11,49.773636,15.340632,12.986051,55.14557,43.188564,15.409719
219,gaussianas,0.999872,0.999872,0.999754,8,-1.23192,16,25.799378,52.553063,26.684856,2.248183,73.603828,4.913371
220,polinomio,0.999999,0.999943,0.998863,8,17.53413,3,3.713163,23.67608,8.191304,18.931189,41.804592,8.64298
221,gaussianas,0.999941,0.999941,0.999728,8,0.069284,13,27.476674,42.024577,27.466528,10.396707,55.683065,11.04338
222,gaussianas,0.999999,0.999999,0.999693,8,1.424759,11,7.167215,19.634361,21.406879,8.378362,41.823204,24.759477
223,polinomio,0.999966,0.999939,0.999226,8,34.715175,6,4.263393,27.842797,5.374745,1.667968,34.733591,3.551007
224,gaussianas,1.0,1.0,0.999681,8,-49.990272,3,13.197974,12.400895,8.188163,4.786201,24.246381,7.29989
225,spline,0.999767,0.999697,0.999767,8,-18.615359,17,44.219041,50.107727,39.056133,32.408093,79.729808,15.021109
