y_pred,params,r2,rmse,mae,max_ae,n_campanas,metodo_init,method,converged,mensaje,x_eval,curva_id,escala
"[37.37337793 37.38372094 37.39409614 ... 34.67186348 34.67182705
 34.67179109]","[ 20.88599725 164.10469082  13.64851048  62.93886314  93.00169334
 -25.90368758  22.98119408  29.06505305   8.73492506  34.66918851]",0.9868946510911204,2.059949568537194,1.5745398625764473,5.484520081102886,3,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[35.46215728 35.45007245 35.43822009 ... 33.68654374 33.69553461
 33.70468229]","[-18.85269778  11.20640909   4.66021113  -6.08632604  49.76440992
  -5.17375917  44.5800276   93.18528926  19.27952728 -20.21301329
 220.73888676 -14.75611761  -5.75900883 182.01078279   5.98220862
 -11.16516377 195.73534185   9.31469041  53.99690514]",0.9663051966449555,3.3030394239015326,2.327236229450432,8.996218255389195,6,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[35.50313545 35.48979349 35.47669261 ... 36.08078217 36.10216918
 36.12361675]","[-18.28897626  11.25436315   4.48398875  45.54618131  93.58186507
  19.03136102 -20.16748992 211.03301901  20.33497855  53.42299866]",0.9598325114025164,3.6063646199977866,2.9481254527252885,8.459816808666154,3,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[35.50291387 35.48957435 35.47647591 ... 36.0808034  36.10219059
 36.12363832]","[-18.28906505  11.25422759  -4.48408527  45.54617781  93.58186745
  19.03137365 -20.16749245 211.03298495  20.33491036  53.42298855]",0.9598324985663566,3.6063651962333236,2.948123675339802,8.459823578540416,4,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[35.50335387 35.49000915 35.47690553 ... 36.08085416 36.10224169
 36.12368978]","[-18.28880989  11.25450872  -4.48385437  45.54621311  93.58187019
  19.03142535 -20.16744019 211.03291023  20.33473848  53.42291511]",0.9598324401060901,3.6063678206060876,2.948131329086578,8.459820235852185,5,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[45.66467857 45.66951038 45.67434125 ... 30.27426869 30.25452572
 30.23477567]","[-3.90144825e+00  2.00201140e+03 -1.85405028e+01  4.09715863e+01
  9.35371848e+01  1.82592924e+01  6.98381986e+04  9.49338646e+01
  4.52944481e+03 -6.97803599e+04]",0.928897251608161,4.798168423361747,3.9626311877095333,12.1900096506346,6,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[45.66459865 45.66943047 45.67426136 ... 30.27520713 30.25546788
 30.23572156]","[ 3.63853348e+04  9.49333283e+01  3.26907312e+03  4.09707726e+01
  9.35372340e+01  1.82590471e+01 -3.63274952e+04]",0.9288966932432411,4.79818726316561,3.962638174534943,12.189930256681798,2,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[50.48810716 50.48814894 50.48819084 ... 36.16416745 36.1867547
 36.20939948]","[-17.31039347 211.20262712  17.83707352  47.97286628  93.41536463
  20.4473043   50.47558667]",0.9276400044171994,4.840403430616535,3.7595101786326843,16.889236907459612,2,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[41.65715677 41.6578077  41.65845989 ... 41.35014487 41.35014369
 41.35014252]","[  12.26187591 2077.41966634   85.54330814   54.68172418   92.42793721
   25.49461902   15.12980695  162.24618288   10.06461928   41.35001541]",0.8953548037888677,5.820924181303621,4.130360043609049,16.490488348081747,7,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[41.65708075 41.65773169 41.65838388 ... 41.3500669  41.35006573
 41.35006456]","[  13.12427344 1202.22891496  109.94979694   54.68182332   92.42789926
   25.49461839   15.12956217  162.24610013   10.06509877   41.34993745]",0.8953544926189704,5.820932835762203,4.130337578370589,16.49055457241994,8,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
